timestamp,application_name,bytes_sent,bytes_received,domains_accessed,connections_made,uptime
2024-12-11T21:01:47.724997,ADESv2Svc.exe,767,649,"127.0.0.1:49679,127.0.0.1:49767,127.0.0.1:49680",7,46597.381217479706
2024-12-11T21:01:47.725998,NitroSense.exe,60299104,102464946,"::1:49768,127.0.0.1:46933,172.253.118.188:5228,::1:63450,::1:15150,127.0.0.1:51779",8,46573.61926174164
2024-12-11T21:01:47.793307,svchost.exe,0,0,,4,46597.41466832161
2024-12-11T21:01:47.796308,brave.exe,2808473245,290793318,"54.70.42.150:443,104.18.32.47:443,13.107.21.239:443,104.21.64.125:443,23.193.114.64:443,35.167.127.109:443,172.64.155.209:443,157.90.91.71:443,142.250.182.234:443,20.189.109.69:443,172.67.73.98:443,142.250.70.67:443,172.67.185.23:443",25,46044.6704826355
2024-12-11T21:01:47.798309,steam.exe,8191390,732017811,"127.0.0.1:49787,127.0.0.1:49786,155.133.225.21:27037",9,46576.62998342514
2024-12-11T21:01:47.801309,steam.exe,8191390,732017811,"127.0.0.1:49787,127.0.0.1:49786,155.133.225.21:27037",9,46576.631984472275
2024-12-11T21:01:47.853896,nvcontainer.exe,9507789,13722282,"127.0.0.1:65001,127.0.0.1:63438",8,46597.40221118927
2024-12-11T21:01:47.903093,WUDFHost.exe,0,0,"127.0.0.1:49708,127.0.0.1:49707",2,46600.17970967293
2024-12-11T21:01:47.949096,svchost.exe,0,40392,,6,46599.458884716034
2024-12-11T21:01:47.951093,Postman.exe,117326869,194198824,,2,44784.516995191574
2024-12-11T21:01:48.010264,AcerCCAgent.exe,72642,120174,::1:63507,3,46597.66467809677
2024-12-11T21:01:48.150250,svchost.exe,154136296,1314762496,,2,46599.607661008835
2024-12-11T21:01:48.192312,System,729941411,276846233,,9,1733931108.1582482
2024-12-11T21:01:48.194332,brave.exe,2808508917,290796566,"54.70.42.150:443,104.18.32.47:443,13.107.21.239:443,104.21.64.125:443,23.193.114.64:443,35.167.127.109:443,172.64.155.209:443,157.90.91.71:443,142.250.182.234:443,20.189.109.69:443,172.67.73.98:443,142.250.70.67:443,172.67.185.23:443",25,46045.06848907471
